filename,subdir,contract_id,source_path,abi_contains_transfer,is_token
13319824-0xcc28a1e703ae3aa71a3beea9d5084b7700f94d6d.hex,13xxxxxx,13319824-0xcc28a1e703ae3aa71a3beea9d5084b7700f94d6d,/Users/rafael/projects/skelcodes/source/13xxxxxx/13319824-0xcc28a1e703ae3aa71a3beea9d5084b7700f94d6d,False,False
10867618-0xbf7ccd6c446acfcc5df023043f2167b62e81899b.hex,10xxxxxx,10867618-0xbf7ccd6c446acfcc5df023043f2167b62e81899b,/Users/rafael/projects/skelcodes/source/10xxxxxx/10867618-0xbf7ccd6c446acfcc5df023043f2167b62e81899b,False,False
13770002-0xe45693dbe1f93815265adf4d4555d8a9100ceb76.hex,13xxxxxx,13770002-0xe45693dbe1f93815265adf4d4555d8a9100ceb76,/Users/rafael/projects/skelcodes/source/13xxxxxx/13770002-0xe45693dbe1f93815265adf4d4555d8a9100ceb76,False,False
13701805-0xd66c5642c5fcb969a09acceb484c958a985cec80.hex,13xxxxxx,13701805-0xd66c5642c5fcb969a09acceb484c958a985cec80,/Users/rafael/projects/skelcodes/source/13xxxxxx/13701805-0xd66c5642c5fcb969a09acceb484c958a985cec80,False,False
6398190-0x9c105e520892978b2a7ecd8545287fdadaec5dd4.hex,6xxxxxx,6398190-0x9c105e520892978b2a7ecd8545287fdadaec5dd4,/Users/rafael/projects/skelcodes/source/6xxxxxx/6398190-0x9c105e520892978b2a7ecd8545287fdadaec5dd4,False,False
11872159-0x4adce60bd2ce5d98eb6de7d3aca2120e585fdb9c.hex,11xxxxxx,11872159-0x4adce60bd2ce5d98eb6de7d3aca2120e585fdb9c,/Users/rafael/projects/skelcodes/source/11xxxxxx/11872159-0x4adce60bd2ce5d98eb6de7d3aca2120e585fdb9c,False,False
11646873-0xc50cb225e0f45e814fd41bcb3a120463ab1f04c3.hex,11xxxxxx,11646873-0xc50cb225e0f45e814fd41bcb3a120463ab1f04c3,/Users/rafael/projects/skelcodes/source/11xxxxxx/11646873-0xc50cb225e0f45e814fd41bcb3a120463ab1f04c3,False,False
13411011-0x98551ce6f382a028b4f0de6034620da32397e199.hex,13xxxxxx,13411011-0x98551ce6f382a028b4f0de6034620da32397e199,/Users/rafael/projects/skelcodes/source/13xxxxxx/13411011-0x98551ce6f382a028b4f0de6034620da32397e199,False,False
13136082-0x8707276df042e89669d69a177d3da7dc78bd8723.hex,13xxxxxx,13136082-0x8707276df042e89669d69a177d3da7dc78bd8723,/Users/rafael/projects/skelcodes/source/13xxxxxx/13136082-0x8707276df042e89669d69a177d3da7dc78bd8723,False,False
12831570-0xc535cfe245d8f969e647b3dd8be1255ec076ee76.hex,12xxxxxx,12831570-0xc535cfe245d8f969e647b3dd8be1255ec076ee76,/Users/rafael/projects/skelcodes/source/12xxxxxx/12831570-0xc535cfe245d8f969e647b3dd8be1255ec076ee76,False,False
11386937-0xb6297d8bcd05ed8308ef7d0b08aefec86856b1f8.hex,11xxxxxx,11386937-0xb6297d8bcd05ed8308ef7d0b08aefec86856b1f8,/Users/rafael/projects/skelcodes/source/11xxxxxx/11386937-0xb6297d8bcd05ed8308ef7d0b08aefec86856b1f8,False,False
12299055-0xe5a7db399dec2c5ddefebc52ea70f127284d118d.hex,12xxxxxx,12299055-0xe5a7db399dec2c5ddefebc52ea70f127284d118d,/Users/rafael/projects/skelcodes/source/12xxxxxx/12299055-0xe5a7db399dec2c5ddefebc52ea70f127284d118d,False,False
10944996-0x8ef2bf0c37baaf0bd2eba46431f4188f50d9d340.hex,10xxxxxx,10944996-0x8ef2bf0c37baaf0bd2eba46431f4188f50d9d340,/Users/rafael/projects/skelcodes/source/10xxxxxx/10944996-0x8ef2bf0c37baaf0bd2eba46431f4188f50d9d340,False,False
