0x1a	0x184
0x7ee	0x7f6
0x803	0x80b
0x8d1	0x936
0xaf2	0xafa
0xafd	0xb6e
0xb6a	0x6740
0xe25	0xe2d
0xe30	0xea1
0xe9d	0x6858
0xea9	0xeb4
0xeb0	0x6880
0xed5	0xf0e
0xf0a	0x68b5
0xf19	0xf6f
0xf6b	0x68dd
0xf72	0xfbd
0xfb9	0x6905
0xfbe	0x7f167
0xfda	0x1013
0x100f	0x692d
0x1016	0x1026
0x104d	0x1056
0x107b	0x7f18a
0x10e8	0x6955
0x10f9	0x116a
0x1166	0x697d
0x1321	0x135a
0x1356	0x6a87
0x14d7	0x14df
0x14e5	0x14ee
0x14f1	0x14ff
0x14f4	0x7f2d1
0x1506	0x150f
0x1520	0x153c
0x1533	0x7f2f5
0x1544	0x158f
0x158b	0x6b27
0x1596	0x15e1
0x15dd	0x6b4f
0x15fe	0x1649
0x1645	0x6b77
0x164f	0x168b
0x1687	0x6b9f
0x16a8	0x16b2
0x16d0	0x16de
0x16d4	0x7f31d
0x16e5	0x16ee
0x16ea	0x31cb
0x16ff	0x171b
0x1712	0x7f341
0x171d	0x172d
0x1731	0x177c
0x1778	0x6bc7
0x1784	0x17a2
0x1788	0x1790
0x1792	0x179a
0x179e	0x177f
0x17c1	0x17cb
0x17e3	0x182e
0x182a	0x6bef
0x19d5	0x19de
0x19df	0x1a50
0x1a4c	0x6cd1
0x1a51	0x7f38d
0x1be2	0x1c1b
0x1c17	0x6d21
0x1c2f	0x1c68
0x1c64	0x6d49
0x1f43	0x1fa3
0x1f9f	0x6e61
0x1fa6	0x1fae
0x1fc7	0x1fe9
0x1fd6	0x1fde
0x1feb	0x7f4b6
0x202c	0x2034
0x203f	0x20b0
0x20ac	0x6e89
0x20bb	0x2112
0x210e	0x6eb1
0x2113	0x211d
0x211e	0x2128
0x2147	0x2151
0x2175	0x217f
0x228a	0x22aa
0x22b1	0x22d4
0x22b6	0x22be
0x22c1	0x22cd
0x22d0	0x22ae
0x22e4	0x22ef
0x22eb	0x6f01
0x2309	0x2319
0x2320	0x7f4dd
0x2324	0x232e
0x2331	0x233b
0x2337	0x3290
0x233c	0x2346
0x2350	0x235b
0x2357	0x6f36
0x238b	0x2395
0x2398	0x231d
0x239d	0x23a4
0x23a0	0x2623
0x23a8	0x7f504
0x23d9	0x23fe
0x23fa	0x2403
0x2409	0x7f527
0x2450	0x6f6b
0x253c	0x2546
0x2547	0x2552
0x2553	0x7f54b
0x25b5	0x6fbb
0x25c0	0x7f570
0x2619	0x7f605
0x262b	0x2633
0x263b	0x7f629
0x2663	0x27a1
0x2685	0x2698
0x26aa	0x26b2
0x26bc	0x26e2
0x26d4	0x26df
0x26e3	0x2787
0x26eb	0x2710
0x270c	0x2715
0x2719	0x277f
0x277b	0x6fe3
0x279d	0x7f64c
0x3045	0x304d
0x3067	0x306f
0x3070	0x3078
0x307b	0x3086
0x3099	0x30a3
0x30ab	0x30c4
0x30e8	0x30f3
0x30ef	0x717f
0x30ff	0x310a
0x3106	0x71b4
0x318a	0x3195
0x3191	0x71e9
0x31a3	0x31ae
0x31aa	0x721e
0x31f3	0x3203
0x3280	0x328b
0x3287	0x7253
0x3294	0x329f
0x329b	0x7288
0xef5a	0x7f89b
0xf95a	0x7f8c8
0x1035a	0x7f8f5
0x10d5a	0x7f922
0x1175a	0x7f94f
0x1215a	0x7f97c
0x12b5a	0x7f9a9
0x1495a	0x7f9ff
0x1715a	0x177f
0x1a35a	0x1fe9
0x1ad5a	0x7fa74
0x1c15a	0x22ae
0x1cb5a	0x2319
0x1d55a	0x231d
0x1df5a	0x2403
0x1f35a	0x26e2
0x1fd5a	0x2715
0x22f5a	0x30a3
0x5416d	0x7fa9b
0x54206	0x7faeb
0x5426a	0x7fb13
0x542e0	0x7fb3b
0x5432e	0x7fb63
0x543eb	0x7fbb3
0x626a9	0x7fbdb
0x70942	0x7fc03
0x70996	0x7fc2b
0x709f0	0x7fc7b
0x70ad8	0x7fccb
0x70aff	0x7fcf3
0x70bbb	0x7fd43
0x70be7	0x7fd6b
0x7eeaa	0x7fd93
0x7f594	0x8610x25b9
0x7f8a5	0x7fe0b
0x7f8d2	0x7fe33
0x7f8ff	0x7fe5b
0x7f92c	0x7fe83
0x7f959	0x7feab
0x7f986	0x7fed3
0x7f9b3	0x7fefb
0xffe26	0x11b626
0x100826	0x135026
0x101226	0x135a26
0x101c26	0x136426
0x102626	0x133226
0x103026	0x133c26
0x103a26	0x134626
0x104426	0x131426
0x104e26	0x131e26
0x105826	0x132826
0x106226	0x130026
0x106c26	0x130a26
0x107626	0x12e226
0x108026	0x12ec26
0x108a26	0x12f626
0x109426	0x12c426
0x109e26	0x12ce26
0x10a826	0x12d826
0x10b226	0x12a626
0x10bc26	0x12b026
0x10c626	0x12ba26
0x10d026	0x129226
0x10da26	0x129c26
0x10e426	0x127426
0x10ee26	0x127e26
0x10f826	0x128826
0x110226	0x125626
0x110c26	0x126026
0x111626	0x126a26
0x112026	0x123826
0x112a26	0x124226
0x113426	0x124c26
0x113e26	0x122426
0x114826	0x122e26
0x115226	0x120626
0x115c26	0x121026
0x116626	0x121a26
0x117026	0x11f226
0x117a26	0x11fc26
0x118426	0x11d426
0x118e26	0x11de26
0x119826	0x11e826
0x11a226	0x11c026
0x11ac26	0x11ca26
0x25b90x13f5a	0x7f9d60x25b9
0x25b90x1355a	0x8910x25b9
0x25b90x8a1	0x8910x25b9
0x25b90x87f	0x7f01f0x25b9
0x25b90x86c	0x8830x25b9
0x25b90x864	0x7eff60x25b9
0x2d8cV0x367	0x2d94B0x367
0xbdbV0x42c	0x6768B0x42c
0xba6V0x42c	0xbdfB0x42c
0xbe0V0x42c	0x7f090B0x42c
0xe08V0x478	0x7f143B0x478
0x2d8cV0x489	0x2d94B0x489
0x2d8cV0x541	0x2d94B0x541
0x2f18V0x5ac	0x2f20B0x5ac
0x2f30V0x5ac	0x2f38B0x5ac
0x2f44V0x5ac	0x2f4cB0x5ac
0x2f53V0x5ac	0x2f5bB0x5ac
0x2f68V0x5ac	0x2f70B0x5ac
0x2d8cV0x5cc	0x2d94B0x5cc
0x2f18V0x6a2	0x2f20B0x6a2
0x2f30V0x6a2	0x2f38B0x6a2
0x2f44V0x6a2	0x2f4cB0x6a2
0x2f53V0x6a2	0x2f5bB0x6a2
0x2f68V0x6a2	0x2f70B0x6a2
0x2d8cV0x6f8	0x2d94B0x6f8
0x2d8cV0x72d	0x2d94B0x72d
0x2d37V0x31cb	0x7f7b5B0x31cb
0x2d1fV0x31cb	0x2d32B0x31cb
0x2255aV0x31cb	0x2d1aB0x31cb
0x2d2eV0x31cb	0x2d1aB0x31cb
0x1ee9V0x211d	0x1ef1B0x211d
0x2daaV0x306f	0x2db2B0x306f
0x2daaV0x3078	0x2db2B0x3078
0x2d04V0x2ed	0x2d0cB0x2ed
0x2d0fV0x2ed	0x7f78fB0x2ed
0x2cf2V0x2d0cV0x2ed	0x7f76dB0x2d0cB0x2ed
0x2dc2V0x39f	0x2dcaB0x39f
0x2dcbV0x39f	0x2dd3B0x39f
0x2daaV0x2dcaV0x39f	0x2db2B0x2dcaB0x39f
0x2deeV0x3d6	0x2df6B0x3d6
0x2df7V0x3d6	0x2dffB0x3d6
0x2e02V0x3d6	0x2e0dB0x3d6
0x2daaV0x2df6V0x3d6	0x2db2B0x2df6B0x3d6
0x2daaV0x2dffV0x3d6	0x2db2B0x2dffB0x3d6
0x2dc2V0x3f6	0x2dcaB0x3f6
0x2dcbV0x3f6	0x2dd3B0x3f6
0x2daaV0x2dcaV0x3f6	0x2db2B0x2dcaB0x3f6
0xc2eV0x441	0x6790B0x441
0xbf9V0x441	0xc32B0x441
0xc33V0x441	0x7f0b1B0x441
0x2235V0xc32V0x441	0x6ed9B0xc32B0x441
0x21eeV0xc32V0x441	0x2239B0xc32B0x441
0x1b75aV0xc32V0x441	0x22690x21e0B0xc32B0x441
0x2deeV0x469	0x2df6B0x469
0x2df7V0x469	0x2dffB0x469
0x2e02V0x469	0x2e0dB0x469
0x2daaV0x2df6V0x469	0x2db2B0x2df6B0x469
0x2daaV0x2dffV0x469	0x2db2B0x2dffB0x469
0x2e27V0x4a9	0x2e2fB0x4a9
0x2e30V0x4a9	0x7f800B0x4a9
0x2daaV0x2e2fV0x4a9	0x2db2B0x2e2fB0x4a9
0x2eceV0x4c9	0x2ed6B0x4c9
0x2ee5V0x4c9	0x2eedB0x4c9
0x2ef6V0x4c9	0x2efeB0x4c9
0x2effV0x4c9	0x7f826B0x4c9
0x2e65V0x2efeV0x4c9	0x7115B0x2efeB0x4c9
0x2e8dV0x2efeV0x4c9	0x714aB0x2efeB0x4c9
0x2e86V0x2efeV0x4c9	0x2e91B0x2efeB0x4c9
0x2ea2V0x2efeV0x4c9	0x2eaaB0x2efeB0x4c9
0x2e5eV0x2efeV0x4c9	0x2e69B0x2efeB0x4c9
0x2e27V0x508	0x2e2fB0x508
0x2e30V0x508	0x7f800B0x508
0x2daaV0x2e2fV0x508	0x2db2B0x2e2fB0x508
0x2e27V0x577	0x2e2fB0x577
0x2e30V0x577	0x7f800B0x577
0x2daaV0x2e2fV0x577	0x2db2B0x2e2fB0x577
0x11caV0x597	0x69a5B0x597
0x1195V0x597	0x11ceB0x597
0x11cfV0x597	0x7f1afB0x597
0x13a3V0x5ec	0x6aafB0x5ec
0x136eV0x5ec	0x13a7B0x5ec
0x13a8V0x5ec	0x7f1f4B0x5ec
0x24fcV0x13a7V0x5ec	0x6f93B0x13a7B0x5ec
0x24b5V0x13a7V0x5ec	0x2500B0x13a7B0x5ec
0x2535V0x13a7V0x5ec	0x22690x24a6B0x13a7B0x5ec
0x2dc2V0x63a	0x2dcaB0x63a
0x2dcbV0x63a	0x2dd3B0x63a
0x2daaV0x2dcaV0x63a	0x2db2B0x2dcaB0x63a
0x2f8dV0x682	0x2f95B0x682
0x2f96V0x682	0x2f9eB0x682
0x2fabV0x682	0x2fb3B0x682
0x2daaV0x2f95V0x682	0x2db2B0x2f95B0x682
0x2fccV0x6c2	0x2fd4B0x6c2
0x2fd5V0x6c2	0x2fddB0x6c2
0x2fe0V0x6c2	0x2febB0x6c2
0x3006V0x6c2	0x300eB0x6c2
0x3017V0x6c2	0x301fB0x6c2
0x3020V0x6c2	0x302eB0x6c2
0x2daaV0x2fd4V0x6c2	0x2db2B0x2fd4B0x6c2
0x2daaV0x2fddV0x6c2	0x2db2B0x2fddB0x6c2
0x2e65V0x301fV0x6c2	0x7115B0x301fB0x6c2
0x2e8dV0x301fV0x6c2	0x714aB0x301fB0x6c2
0x2e86V0x301fV0x6c2	0x2e91B0x301fB0x6c2
0x2ea2V0x301fV0x6c2	0x2eaaB0x301fB0x6c2
0x2e5eV0x301fV0x6c2	0x2e69B0x301fB0x6c2
0x1ae5V0x707	0x6cf9B0x707
0x1b0fV0x707	0x7f3b2B0x707
0x1a78V0x707	0x1ae9B0x707
0x1aecV0x707	0x1af3B0x707
0x1afbV0x707	0x1b13B0x707
0x1b15V0x707	0x1b1dB0x707
0x1b24V0x707	0x1b2eB0x707
0x1b2aV0x707	0x3237B0x707
0x1855aV0x707	0x7fa27B0x707
0x323cV0x707	0x3249B0x707
0x3250V0x707	0x325dB0x707
0x2d37V0x3237V0x707	0x7f7b5B0x3237B0x707
0x2d1fV0x3237V0x707	0x2d32B0x3237B0x707
0x2255aV0x3237V0x707	0x2d1aB0x3237B0x707
0x2d2eV0x3237V0x707	0x2d1aB0x3237B0x707
0x2d37V0x3249V0x707	0x7f7b5B0x3249B0x707
0x2d1fV0x3249V0x707	0x2d32B0x3249B0x707
0x2255aV0x3249V0x707	0x2d1aB0x3249B0x707
0x2d2eV0x3249V0x707	0x2d1aB0x3249B0x707
0x2e27V0x7b6	0x2e2fB0x7b6
0x2e30V0x7b6	0x7f800B0x7b6
0x2daaV0x2e2fV0x7b6	0x2db2B0x2e2fB0x7b6
0x2dc2V0x7d6	0x2dcaB0x7d6
0x2dcbV0x7d6	0x2dd3B0x7d6
0x2daaV0x2dcaV0x7d6	0x2db2B0x2dcaB0x7d6
0x2c75V0x1013	0x2cbfB0x1013
0x2c4fV0x1013	0x2c57B0x1013
0x2c6dV0x1013	0x2c79B0x1013
0x2c7eV0x1013	0x2c92B0x1013
0x2cc1V0x1013	0x7f727B0x1013
0x2c9dV0x1013	0x2cbfB0x1013
0x2ca9V0x1013	0x2cbfB0x1013
0x2c8eV0x1013	0x2cbfB0x1013
0x2115aV0x1013	0x2ca4B0x1013
0x2cbbV0x1013	0x2ca4B0x1013
0x2ce0V0x2cbfV0x1013	0x2cd0B0x2cbfB0x1013
0x21b5aV0x2cbfV0x1013	0x2cd0B0x2cbfB0x1013
0x2cd5V0x2cbfV0x1013	0x7f74aB0x2cbfB0x1013
0x3137V0x14ff	0x3147B0x14ff
0x2d37V0x310fV0x14ff	0x7f7b5B0x310fB0x14ff
0x2d1fV0x310fV0x14ff	0x2d32B0x310fB0x14ff
0x2255aV0x310fV0x14ff	0x2d1aB0x310fB0x14ff
0x2d2eV0x310fV0x14ff	0x2d1aB0x310fB0x14ff
0x2833V0x2618	0x700bB0x2618
0x27adV0x2618	0x27b7B0x2618
0x27c6V0x2618	0x7f673B0x2618
0x28c4V0x27acV0x2618	0x290bB0x27acB0x2618
0x292aV0x27acV0x2618	0x2933B0x27acB0x2618
0x292fV0x27acV0x2618	0x2abbB0x27acB0x2618
0x2942V0x27acV0x2618	0x7f6bbB0x27acB0x2618
0x2946V0x27acV0x2618	0x2b58B0x27acB0x2618
0x2964V0x27acV0x2618	0x7f703B0x27acB0x2618
0x2969V0x27acV0x2618	0x2c07B0x27acB0x2618
0x2075aV0x27acV0x2618	0x2b25B0x27acB0x2618
0x2b8eV0x27acV0x2618	0x70abB0x27acB0x2618
0x2bafV0x27acV0x2618	0x70e0B0x27acB0x2618
0x2be7V0x27acV0x2618	0x32fdB0x27acB0x2618
0x28c0V0x27acV0x2618	0x2910B0x27acB0x2618
0x2926V0x27acV0x2618	0x2933B0x27acB0x2618
0x290cV0x27acV0x2618	0x2933B0x27acB0x2618
0x293eV0x27acV0x2618	0x294aB0x27acB0x2618
0x2ac0V0x27acV0x2618	0x2ac8B0x27acB0x2618
0x2960V0x27acV0x2618	0x7f6dfB0x27acB0x2618
0x2b5fV0x27acV0x2618	0x2b6aB0x27acB0x2618
0x2c0aV0x27acV0x2618	0x2c12B0x27acB0x2618
0x2ac9V0x27acV0x2618	0x2ad2B0x27acB0x2618
0x2ae8V0x27acV0x2618	0x2b25B0x27acB0x2618
0x2b87V0x27acV0x2618	0x2b92B0x27acB0x2618
0x2ba8V0x27acV0x2618	0x2bb3B0x27acB0x2618
0x2be0V0x27acV0x2618	0x2bebB0x27acB0x2618
0x2dc2V0x44a	0x2dcaB0x44a
0x2dcbV0x44a	0x2dd3B0x44a
0x2daaV0x2dcaV0x44a	0x2db2B0x2dcaB0x44a
0x2dc2V0x663	0x2dcaB0x663
0x2dcbV0x663	0x2dd3B0x663
0x2daaV0x2dcaV0x663	0x2db2B0x2dcaB0x663
0x32eaV0x26c0	0x32f2B0x26c0
0x32f5V0x26c0	0x7f84dB0x26c0
0x2cf2V0x32f2V0x26c0	0x7f76dB0x32f2B0x26c0
0x2d76V0x1524	0x7f7daB0x1524
0x2d4bV0x2d6fV0x1524	0x2d5bB0x2d6fB0x1524
0x2d37V0x2d43V0x2d6fV0x1524	0x7f7b5B0x2d43B0x2d6fB0x1524
0x2d1fV0x2d43V0x2d6fV0x1524	0x2d32B0x2d43B0x2d6fB0x1524
0x2255aV0x2d43V0x2d6fV0x1524	0x2d1aB0x2d43B0x2d6fB0x1524
0x2d2eV0x2d43V0x2d6fV0x1524	0x2d1aB0x2d43B0x2d6fB0x1524
0x2d76V0x1703	0x7f7daB0x1703
0x2d4bV0x2d6fV0x1703	0x2d5bB0x2d6fB0x1703
0x2d37V0x2d43V0x2d6fV0x1703	0x7f7b5B0x2d43B0x2d6fB0x1703
0x2d1fV0x2d43V0x2d6fV0x1703	0x2d32B0x2d43B0x2d6fB0x1703
0x2255aV0x2d43V0x2d6fV0x1703	0x2d1aB0x2d43B0x2d6fB0x1703
0x2d2eV0x2d43V0x2d6fV0x1703	0x2d1aB0x2d43B0x2d6fB0x1703
0x32caV0x2667	0x32d6B0x2667
0x2d4bV0x32a4V0x2667	0x2d5bB0x32a4B0x2667
0x2d37V0x2d43V0x32a4V0x2667	0x7f7b5B0x2d43B0x32a4B0x2667
0x2d1fV0x2d43V0x32a4V0x2667	0x2d32B0x2d43B0x32a4B0x2667
0x2255aV0x2d43V0x32a4V0x2667	0x2d1aB0x2d43B0x32a4B0x2667
0x2d2eV0x2d43V0x32a4V0x2667	0x2d1aB0x2d43B0x32a4B0x2667
0x818V0x2fc	0x7ef86B0x2fc
0x1eafV0x815V0x2fc	0x7f46cB0x815B0x2fc
0x1eb4V0x815V0x2fc	0x7f491B0x815B0x2fc
0x25e0V0x1eb3V0x815V0x2fc	0x25f9B0x1eb3B0x815B0x2fc
0x25fbV0x1eb3V0x815V0x2fc	0x7f5bbB0x1eb3B0x815B0x2fc
0x1e95aV0x1eb3V0x815V0x2fc	0x25f9B0x1eb3B0x815B0x2fc
0x2614V0x1eb3V0x815V0x2fc	0x7f5e0B0x1eb3B0x815B0x2fc
0x2d76V0x54202	0x7f7daB0x54202
0x2d4bV0x2d6fV0x54202	0x2d5bB0x2d6fB0x54202
0x2d37V0x2d43V0x2d6fV0x54202	0x7f7b5B0x2d43B0x2d6fB0x54202
0x2d1fV0x2d43V0x2d6fV0x54202	0x2d32B0x2d43B0x2d6fB0x54202
0x2255aV0x2d43V0x2d6fV0x54202	0x2d1aB0x2d43B0x2d6fB0x54202
0x2d2eV0x2d43V0x2d6fV0x54202	0x2d1aB0x2d43B0x2d6fB0x54202
0x9c7V0x3ae	0x66c8B0x3ae
0xa55V0x3ae	0x66f0B0x3ae
0x955V0x3ae	0x95dB0x3ae
0x976V0x3ae	0x9cbB0x3ae
0x9d9V0x3ae	0x9e7B0x3ae
0x9e8V0x3ae	0xa59B0x3ae
0xa5aV0x3ae	0x7f048B0x3ae
0x9deV0x3ae	0x9e7B0x3ae
0x9e3V0x3ae	0x77c0x952B0x3ae
0x1ee9V0xa59V0x3ae	0x1ef1B0xa59B0x3ae
0xae0V0x3e5	0x6718B0x3e5
0xa69V0x3e5	0xa72B0x3e5
0xa73V0x3e5	0xae4B0x3e5
0xae5V0x3e5	0x7f06cB0x3e5
0x121cV0x5bb	0x69cdB0x5bb
0x1234V0x5bb	0x123fB0x5bb
0x123bV0x5bb	0x69f5B0x5bb
0x12a7V0x5bb	0x6a2aB0x5bb
0x12bfV0x5bb	0x6a52B0x5bb
0x11e7V0x5bb	0x1220B0x5bb
0x15d5aV0x5bb	0x1223B0x5bb
0x124bV0x5bb	0x1254B0x5bb
0x1260V0x5bb	0x12abB0x5bb
0x12b8V0x5bb	0x12c3B0x5bb
0x12cfV0x5bb	0x12d8B0x5bb
0x1302V0x5bb	0x130aB0x5bb
0x130eV0x5bb	0x1223B0x5bb
0x1228V0x5bb	0x7f1d0B0x5bb
0x2e27V0x123fV0x5bb	0x2e2fB0x123fB0x5bb
0x2e30V0x123fV0x5bb	0x7f800B0x123fB0x5bb
0x2daaV0x2e2fV0x123fV0x5bb	0x2db2B0x2e2fB0x123fB0x5bb
0x2e27V0x12c3V0x5bb	0x2e2fB0x12c3B0x5bb
0x2e30V0x12c3V0x5bb	0x7f800B0x12c3B0x5bb
0x2daaV0x2e2fV0x12c3V0x5bb	0x2db2B0x2e2fB0x12c3B0x5bb
0x2d76V0x70afb	0x7f7daB0x70afb
0x2d4bV0x2d6fV0x70afb	0x2d5bB0x2d6fB0x70afb
0x2d37V0x2d43V0x2d6fV0x70afb	0x7f7b5B0x2d43B0x2d6fB0x70afb
0x2d1fV0x2d43V0x2d6fV0x70afb	0x2d32B0x2d43B0x2d6fB0x70afb
0x2255aV0x2d43V0x2d6fV0x70afb	0x2d1aB0x2d43B0x2d6fB0x70afb
0x2d2eV0x2d43V0x2d6fV0x70afb	0x2d1aB0x2d43B0x2d6fB0x70afb
0x18deV0x6b1	0x6c17B0x6b1
0x18f6V0x6b1	0x1901B0x6b1
0x18fdV0x6b1	0x6c3fB0x6b1
0x1969V0x6b1	0x6c74B0x6b1
0x1981V0x6b1	0x6c9cB0x6b1
0x18a9V0x6b1	0x18e2B0x6b1
0x17b5aV0x6b1	0x18e5B0x6b1
0x190dV0x6b1	0x1916B0x6b1
0x1922V0x6b1	0x196dB0x6b1
0x197aV0x6b1	0x1985B0x6b1
0x1991V0x6b1	0x199aB0x6b1
0x19c4V0x6b1	0x19ccB0x6b1
0x19d0V0x6b1	0x18e5B0x6b1
0x18eaV0x6b1	0x7f369B0x6b1
0x2e27V0x1901V0x6b1	0x2e2fB0x1901B0x6b1
0x2e30V0x1901V0x6b1	0x7f800B0x1901B0x6b1
0x2daaV0x2e2fV0x1901V0x6b1	0x2db2B0x2e2fB0x1901B0x6b1
0x2e27V0x1985V0x6b1	0x2e2fB0x1985B0x6b1
0x2e30V0x1985V0x6b1	0x7f800B0x1985B0x6b1
0x2daaV0x2e2fV0x1985V0x6b1	0x2db2B0x2e2fB0x1985B0x6b1
0x2d76V0x70bb7	0x7f7daB0x70bb7
0x2d4bV0x2d6fV0x70bb7	0x2d5bB0x2d6fB0x70bb7
0x2d37V0x2d43V0x2d6fV0x70bb7	0x7f7b5B0x2d43B0x2d6fB0x70bb7
0x2d1fV0x2d43V0x2d6fV0x70bb7	0x2d32B0x2d43B0x2d6fB0x70bb7
0x2255aV0x2d43V0x2d6fV0x70bb7	0x2d1aB0x2d43B0x2d6fB0x70bb7
0x2d2eV0x2d43V0x2d6fV0x70bb7	0x2d1aB0x2d43B0x2d6fB0x70bb7
0x2d76V0x70be3	0x7f7daB0x70be3
0x2d4bV0x2d6fV0x70be3	0x2d5bB0x2d6fB0x70be3
0x2d37V0x2d43V0x2d6fV0x70be3	0x7f7b5B0x2d43B0x2d6fB0x70be3
0x2d1fV0x2d43V0x2d6fV0x70be3	0x2d32B0x2d43B0x2d6fB0x70be3
0x2255aV0x2d43V0x2d6fV0x70be3	0x2d1aB0x2d43B0x2d6fB0x70be3
0x2d2eV0x2d43V0x2d6fV0x70be3	0x2d1aB0x2d43B0x2d6fB0x70be3
0x1cb7V0x7c5	0x6d71B0x7c5
0x1d33V0x7c5	0x6d99B0x7c5
0x1c82V0x7c5	0x1cbbB0x7c5
0x1cc6V0x7c5	0x1d37B0x7c5
0x1d38V0x7c5	0x7f426B0x7c5
0x1d87V0x7e5	0x6dc1B0x7e5
0x1de8V0x7e5	0x6de9B0x7e5
0x1e38V0x7e5	0x6e11B0x7e5
0x1e89V0x7e5	0x6e39B0x7e5
0x1d52V0x7e5	0x1d8bB0x7e5
0x1d96V0x7e5	0x1decB0x7e5
0x1df1V0x7e5	0x1e3cB0x7e5
0x1e42V0x7e5	0x1e8dB0x7e5
0x1e8eV0x7e5	0x7f448B0x7e5
0x2d76V0x1026	0x7f7daB0x1026
0x2d4bV0x2d6fV0x1026	0x2d5bB0x2d6fB0x1026
0x2d37V0x2d43V0x2d6fV0x1026	0x7f7b5B0x2d43B0x2d6fB0x1026
0x2d1fV0x2d43V0x2d6fV0x1026	0x2d32B0x2d43B0x2d6fB0x1026
0x2255aV0x2d43V0x2d6fV0x1026	0x2d1aB0x2d43B0x2d6fB0x1026
0x2d2eV0x2d43V0x2d6fV0x1026	0x2d1aB0x2d43B0x2d6fB0x1026
0x28b1V0x263a	0x7033B0x263a
0x29bfV0x263a	0x705bB0x263a
0x2a24V0x263a	0x7083B0x263a
0x2838V0x263a	0x2841B0x263a
0x283dV0x263a	0x296dB0x263a
0x2842V0x263a	0x284eB0x263a
0x2978V0x263a	0x29c3B0x263a
0x284fV0x263a	0x7f697B0x263a
0x29ddV0x263a	0x2a28B0x263a
0x2a29V0x263a	0x2a34B0x263a
0x2a53V0x263a	0x2a5dB0x263a
0x8260x87fV0x345	0x7f01f0x826B0x345
0x82dV0x345	0x7efabB0x345
0x7efcfV0x345	0x8610x826B0x345
0x8260x13f5aV0x345	0x7f9d60x826B0x345
0x8260x1355aV0x345	0x8910x826B0x345
0x8260x8a1V0x345	0x8910x826B0x345
0x8260x86cV0x345	0x8830x826B0x345
0x8260x864V0x345	0x7eff60x826B0x345
0xc82V0x458	0x67b8B0x458
0xcc4V0x458	0x67e0B0x458
0xd1fV0x458	0x7f0f6B0x458
0xd77V0x458	0x6808B0x458
0xdd7V0x458	0x6830B0x458
0xde7V0x458	0xdefB0x458
0xc3dV0x458	0xc45B0x458
0xc4eV0x458	0xc86B0x458
0xc8cV0x458	0xcc8B0x458
0xcccV0x458	0xcd5B0x458
0xcd8V0x458	0xcebB0x458
0xcdbV0x458	0x7f0d2B0x458
0xcf2V0x458	0xcfbB0x458
0xd0cV0x458	0xd28B0x458
0xd30V0x458	0xd7bB0x458
0xd7cV0x458	0xd8cB0x458
0xd90V0x458	0xddbB0x458
0x1535aV0x458	0xddeB0x458
0xdf1V0x458	0xdf9B0x458
0xdfdV0x458	0xddeB0x458
